dataset,pipeline,architecture,condition,n_seeds,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,f1_weighted_mean,f1_weighted_std,f1_macro_mean,f1_macro_std,precision_weighted_mean,precision_weighted_std,recall_weighted_mean,recall_weighted_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,cohen_kappa_mean,cohen_kappa_std,mcc_mean,mcc_std,ece_mean,ece_std,log_loss_mean,log_loss_std,mean_confidence_mean,mean_confidence_std,std_confidence_mean,std_confidence_std,mean_entropy_mean,mean_entropy_std,std_entropy_mean,std_entropy_std
home_har_data,rolling_variance,CNN_LSTM,BN,1,0.2797,0.0,0.2797,0.0,0.2268,0.0,0.2268,0.0,0.3779,0.0,0.2797,0.0,0.3779,0.0,0.2797,0.0,0.1597,0.0,0.1754,0.0,0.5861,0.0,6.5255,0.0,0.8658,0.0,0.1659,0.0,0.3387,0.0,0.3455,0.0
home_har_data,rolling_variance,CNN_LSTM,BN+Whiten,1,0.2883,0.0,0.2883,0.0,0.2208,0.0,0.2208,0.0,0.3344,0.0,0.2883,0.0,0.3344,0.0,0.2883,0.0,0.1697,0.0,0.2118,0.0,0.5757,0.0,6.7242,0.0,0.8638,0.0,0.1619,0.0,0.3579,0.0,0.329,0.0
home_har_data,rolling_variance,CNN_LSTM,CORAL,1,0.2871,0.0,0.2871,0.0,0.2318,0.0,0.2318,0.0,0.3448,0.0,0.2871,0.0,0.3448,0.0,0.2871,0.0,0.1683,0.0,0.1823,0.0,0.5639,0.0,5.5739,0.0,0.851,0.0,0.1562,0.0,0.4003,0.0,0.329,0.0
home_har_data,rolling_variance,CNN_LSTM,FS20perclass,1,0.1932,0.0,0.1932,0.0,0.1525,0.0,0.1525,0.0,0.2217,0.0,0.1932,0.0,0.2217,0.0,0.1932,0.0,0.0588,0.0,0.0755,0.0,0.6741,0.0,8.0085,0.0,0.8673,0.0,0.1546,0.0,0.3366,0.0,0.3059,0.0
home_har_data,rolling_variance,CNN_LSTM,noBN,1,0.5027,0.0,0.5027,0.0,0.4255,0.0,0.4255,0.0,0.4085,0.0,0.5027,0.0,0.4085,0.0,0.5027,0.0,0.4198,0.0,0.4422,0.0,0.4406,0.0,6.9759,0.0,0.9433,0.0,0.1183,0.0,0.1386,0.0,0.2438,0.0
home_har_data,rolling_variance,Conv1D,BN,1,0.2976,0.0,0.2976,0.0,0.2493,0.0,0.2493,0.0,0.336,0.0,0.2976,0.0,0.336,0.0,0.2976,0.0,0.1805,0.0,0.1917,0.0,0.4679,0.0,3.4622,0.0,0.7655,0.0,0.1865,0.0,0.5688,0.0,0.3567,0.0
home_har_data,rolling_variance,Conv1D,BN+Whiten,1,0.266,0.0,0.266,0.0,0.2156,0.0,0.2156,0.0,0.3558,0.0,0.266,0.0,0.3558,0.0,0.266,0.0,0.1436,0.0,0.1556,0.0,0.5182,0.0,3.9623,0.0,0.784,0.0,0.1948,0.0,0.5728,0.0,0.4196,0.0
home_har_data,rolling_variance,Conv1D,CORAL,1,0.1315,0.0,0.1315,0.0,0.0376,0.0,0.0376,0.0,0.0595,0.0,0.1315,0.0,0.0595,0.0,0.1315,0.0,-0.0132,0.0,-0.0357,0.0,0.0842,0.0,1.9694,0.0,0.2158,0.0,0.0362,0.0,1.8989,0.0,0.0848,0.0
home_har_data,rolling_variance,Conv1D,FS20perclass,1,0.1869,0.0,0.1869,0.0,0.1485,0.0,0.1485,0.0,0.1546,0.0,0.1869,0.0,0.1546,0.0,0.1869,0.0,0.0514,0.0,0.0546,0.0,0.4755,0.0,4.1508,0.0,0.6623,0.0,0.1822,0.0,0.8415,0.0,0.3622,0.0
home_har_data,rolling_variance,Conv1D,noBN,1,0.4568,0.0,0.4568,0.0,0.3923,0.0,0.3923,0.0,0.3958,0.0,0.4568,0.0,0.3958,0.0,0.4568,0.0,0.3662,0.0,0.3859,0.0,0.4388,0.0,6.1327,0.0,0.8954,0.0,0.1553,0.0,0.2605,0.0,0.3432,0.0
home_har_data,rolling_variance,MLP,BN,1,0.3483,0.0,0.3483,0.0,0.3533,0.0,0.3533,0.0,0.415,0.0,0.3483,0.0,0.415,0.0,0.3483,0.0,0.2396,0.0,0.2498,0.0,0.2917,0.0,2.2524,0.0,0.618,0.0,0.1928,0.0,0.9991,0.0,0.4089,0.0
home_har_data,rolling_variance,MLP,BN+Whiten,1,0.298,0.0,0.298,0.0,0.2997,0.0,0.2997,0.0,0.3805,0.0,0.298,0.0,0.3805,0.0,0.298,0.0,0.181,0.0,0.1914,0.0,0.2777,0.0,2.0655,0.0,0.5758,0.0,0.1898,0.0,1.0935,0.0,0.4006,0.0
home_har_data,rolling_variance,MLP,CORAL,1,0.1658,0.0,0.1658,0.0,0.0749,0.0,0.0749,0.0,0.0976,0.0,0.1658,0.0,0.0976,0.0,0.1658,0.0,0.0267,0.0,0.0392,0.0,0.0761,0.0,1.9761,0.0,0.2419,0.0,0.0319,0.0,1.821,0.0,0.0767,0.0
home_har_data,rolling_variance,MLP,FS20perclass,1,0.2589,0.0,0.2589,0.0,0.2222,0.0,0.2222,0.0,0.2202,0.0,0.2589,0.0,0.2202,0.0,0.2589,0.0,0.1354,0.0,0.1443,0.0,0.3175,0.0,3.7704,0.0,0.5764,0.0,0.1532,0.0,1.0101,0.0,0.2674,0.0
home_har_data,rolling_variance,MLP,noBN,1,0.4528,0.0,0.4528,0.0,0.3862,0.0,0.3862,0.0,0.4956,0.0,0.4528,0.0,0.4956,0.0,0.4528,0.0,0.3616,0.0,0.3796,0.0,0.3227,0.0,2.8189,0.0,0.7754,0.0,0.2213,0.0,0.5586,0.0,0.4669,0.0
home_har_data,rolling_variance,ResMLP,BN,1,0.2783,0.0,0.2783,0.0,0.2514,0.0,0.2514,0.0,0.3978,0.0,0.2783,0.0,0.3978,0.0,0.2783,0.0,0.158,0.0,0.1705,0.0,0.4828,0.0,2.7188,0.0,0.761,0.0,0.179,0.0,0.6678,0.0,0.3857,0.0
home_har_data,rolling_variance,ResMLP,BN+Whiten,1,0.2625,0.0,0.2625,0.0,0.2254,0.0,0.2254,0.0,0.334,0.0,0.2625,0.0,0.334,0.0,0.2625,0.0,0.1396,0.0,0.155,0.0,0.4941,0.0,3.3388,0.0,0.7565,0.0,0.1801,0.0,0.6848,0.0,0.3972,0.0
home_har_data,rolling_variance,ResMLP,CORAL,1,0.209,0.0,0.209,0.0,0.1545,0.0,0.1545,0.0,0.2015,0.0,0.209,0.0,0.2015,0.0,0.209,0.0,0.0772,0.0,0.096,0.0,0.0523,0.0,1.8863,0.0,0.203,0.0,0.0398,0.0,1.8869,0.0,0.0945,0.0
home_har_data,rolling_variance,ResMLP,FS20perclass,1,0.1829,0.0,0.1829,0.0,0.1433,0.0,0.1433,0.0,0.183,0.0,0.1829,0.0,0.183,0.0,0.1829,0.0,0.0468,0.0,0.051,0.0,0.576,0.0,4.3944,0.0,0.7579,0.0,0.166,0.0,0.618,0.0,0.3188,0.0
home_har_data,rolling_variance,ResMLP,noBN,1,0.1429,0.0,0.1429,0.0,0.0357,0.0,0.0357,0.0,0.0204,0.0,0.1429,0.0,0.0204,0.0,0.1429,0.0,0.0,0.0,0.0,0.0,0.0003,0.0,1.9459,0.0,0.1431,0.0,0.0,0.0,1.9459,0.0,0.0,0.0
home_occupation_data,rolling_variance,CNN_LSTM,BN,1,0.9713,0.0,0.9713,0.0,0.9712,0.0,0.9712,0.0,0.9727,0.0,0.9713,0.0,0.9727,0.0,0.9713,0.0,0.9569,0.0,0.9577,0.0,0.0181,0.0,0.0908,0.0,0.983,0.0,0.0672,0.0,0.0402,0.0,0.1328,0.0
home_occupation_data,rolling_variance,CNN_LSTM,BN+Whiten,1,0.8317,0.0,0.8317,0.0,0.8158,0.0,0.8158,0.0,0.8731,0.0,0.8317,0.0,0.8731,0.0,0.8317,0.0,0.7475,0.0,0.7755,0.0,0.1449,0.0,1.693,0.0,0.9757,0.0,0.082,0.0,0.0576,0.0,0.1643,0.0
home_occupation_data,rolling_variance,CNN_LSTM,CORAL,1,0.8844,0.0,0.8844,0.0,0.8808,0.0,0.8808,0.0,0.9132,0.0,0.8844,0.0,0.9132,0.0,0.8844,0.0,0.8267,0.0,0.8433,0.0,0.1073,0.0,0.9866,0.0,0.9917,0.0,0.0469,0.0,0.0205,0.0,0.0953,0.0
home_occupation_data,rolling_variance,CNN_LSTM,FS20perclass,1,0.9686,0.0,0.9686,0.0,0.9686,0.0,0.9686,0.0,0.9688,0.0,0.9686,0.0,0.9688,0.0,0.9686,0.0,0.9529,0.0,0.9531,0.0,0.0206,0.0,0.168,0.0,0.9884,0.0,0.0516,0.0,0.0306,0.0,0.1073,0.0
home_occupation_data,rolling_variance,CNN_LSTM,noBN,1,0.9579,0.0,0.9579,0.0,0.9576,0.0,0.9576,0.0,0.9615,0.0,0.9579,0.0,0.9615,0.0,0.9579,0.0,0.9369,0.0,0.9389,0.0,0.0322,0.0,0.2087,0.0,0.9895,0.0,0.051,0.0,0.027,0.0,0.1085,0.0
home_occupation_data,rolling_variance,Conv1D,BN,1,0.9092,0.0,0.9092,0.0,0.9076,0.0,0.9076,0.0,0.926,0.0,0.9092,0.0,0.926,0.0,0.9092,0.0,0.8637,0.0,0.8733,0.0,0.065,0.0,0.2121,0.0,0.9741,0.0,0.079,0.0,0.0662,0.0,0.1636,0.0
