dataset,pipeline,architecture,condition,n_seeds,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,f1_weighted_mean,f1_weighted_std,f1_macro_mean,f1_macro_std,precision_weighted_mean,precision_weighted_std,recall_weighted_mean,recall_weighted_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,cohen_kappa_mean,cohen_kappa_std,mcc_mean,mcc_std,ece_mean,ece_std,log_loss_mean,log_loss_std,mean_confidence_mean,mean_confidence_std,std_confidence_mean,std_confidence_std,mean_entropy_mean,mean_entropy_std,std_entropy_mean,std_entropy_std
home_har_data,rolling_variance,CNN_LSTM,BN,1,0.3623,0.0,0.3623,0.0,0.2975,0.0,0.2975,0.0,0.4313,0.0,0.3623,0.0,0.4313,0.0,0.3623,0.0,0.256,0.0,0.2871,0.0,0.5447,0.0,6.7093,0.0,0.9069,0.0,0.1513,0.0,0.2447,0.0,0.3326,0.0
home_har_data,rolling_variance,CNN_LSTM,BN+Whiten,1,0.2836,0.0,0.2836,0.0,0.2584,0.0,0.2584,0.0,0.5011,0.0,0.2836,0.0,0.5011,0.0,0.2836,0.0,0.1642,0.0,0.183,0.0,0.6497,0.0,7.2558,0.0,0.9333,0.0,0.1231,0.0,0.1895,0.0,0.2847,0.0
home_har_data,rolling_variance,CNN_LSTM,CORAL,1,0.3275,0.0,0.3275,0.0,0.2929,0.0,0.2929,0.0,0.4589,0.0,0.3275,0.0,0.4589,0.0,0.3275,0.0,0.2154,0.0,0.2298,0.0,0.5244,0.0,4.8622,0.0,0.8519,0.0,0.1748,0.0,0.3514,0.0,0.3496,0.0
home_har_data,rolling_variance,CNN_LSTM,FS20perclass,1,0.2992,0.0,0.2992,0.0,0.2887,0.0,0.2887,0.0,0.4168,0.0,0.2992,0.0,0.4168,0.0,0.2992,0.0,0.1824,0.0,0.1911,0.0,0.5782,0.0,7.174,0.0,0.8774,0.0,0.1561,0.0,0.2991,0.0,0.3117,0.0
home_har_data,rolling_variance,CNN_LSTM,noBN,1,0.49,0.0,0.49,0.0,0.4103,0.0,0.4103,0.0,0.367,0.0,0.49,0.0,0.367,0.0,0.49,0.0,0.405,0.0,0.426,0.0,0.4695,0.0,8.1358,0.0,0.9595,0.0,0.1007,0.0,0.0981,0.0,0.2019,0.0
home_har_data,rolling_variance,Conv1D,BN,1,0.4708,0.0,0.4708,0.0,0.3936,0.0,0.3936,0.0,0.4616,0.0,0.4708,0.0,0.4616,0.0,0.4708,0.0,0.3826,0.0,0.4068,0.0,0.357,0.0,4.7335,0.0,0.8277,0.0,0.1912,0.0,0.4315,0.0,0.4053,0.0
home_har_data,rolling_variance,Conv1D,BN+Whiten,1,0.3763,0.0,0.3763,0.0,0.3139,0.0,0.3139,0.0,0.4019,0.0,0.3763,0.0,0.4019,0.0,0.3763,0.0,0.2724,0.0,0.2901,0.0,0.4063,0.0,4.2786,0.0,0.7826,0.0,0.2092,0.0,0.5612,0.0,0.4676,0.0
home_har_data,rolling_variance,Conv1D,CORAL,1,0.4085,0.0,0.4085,0.0,0.3449,0.0,0.3449,0.0,0.3457,0.0,0.4085,0.0,0.3457,0.0,0.4085,0.0,0.31,0.0,0.3366,0.0,0.4115,0.0,4.386,0.0,0.82,0.0,0.1939,0.0,0.4561,0.0,0.4235,0.0
home_har_data,rolling_variance,Conv1D,FS20perclass,1,0.2871,0.0,0.2871,0.0,0.2494,0.0,0.2494,0.0,0.3222,0.0,0.2871,0.0,0.3222,0.0,0.2871,0.0,0.1683,0.0,0.1739,0.0,0.4505,0.0,5.2373,0.0,0.7376,0.0,0.1909,0.0,0.6679,0.0,0.4082,0.0
home_har_data,rolling_variance,Conv1D,noBN,1,0.5073,0.0,0.5073,0.0,0.4331,0.0,0.4331,0.0,0.4544,0.0,0.5073,0.0,0.4544,0.0,0.5073,0.0,0.4252,0.0,0.4574,0.0,0.4246,0.0,8.2545,0.0,0.9318,0.0,0.13,0.0,0.1612,0.0,0.2604,0.0
home_har_data,rolling_variance,MLP,BN,1,0.3619,0.0,0.3619,0.0,0.3438,0.0,0.3438,0.0,0.4294,0.0,0.3619,0.0,0.4294,0.0,0.3619,0.0,0.2555,0.0,0.2699,0.0,0.5015,0.0,5.1845,0.0,0.8634,0.0,0.169,0.0,0.3202,0.0,0.3316,0.0
home_har_data,rolling_variance,MLP,BN+Whiten,1,0.4336,0.0,0.4336,0.0,0.3949,0.0,0.3949,0.0,0.4314,0.0,0.4336,0.0,0.4314,0.0,0.4336,0.0,0.3392,0.0,0.3519,0.0,0.4144,0.0,5.2696,0.0,0.848,0.0,0.1675,0.0,0.3609,0.0,0.3306,0.0
home_har_data,rolling_variance,MLP,CORAL,1,0.2164,0.0,0.2164,0.0,0.2098,0.0,0.2098,0.0,0.2267,0.0,0.2164,0.0,0.2267,0.0,0.2164,0.0,0.0858,0.0,0.0914,0.0,0.169,0.0,2.4081,0.0,0.3854,0.0,0.1397,0.0,1.3615,0.0,0.3373,0.0
home_har_data,rolling_variance,MLP,FS20perclass,1,0.2174,0.0,0.2174,0.0,0.2141,0.0,0.2141,0.0,0.2492,0.0,0.2174,0.0,0.2492,0.0,0.2174,0.0,0.087,0.0,0.0899,0.0,0.628,0.0,5.7815,0.0,0.8452,0.0,0.1681,0.0,0.3804,0.0,0.3316,0.0
home_har_data,rolling_variance,MLP,noBN,1,0.374,0.0,0.374,0.0,0.3463,0.0,0.3463,0.0,0.4052,0.0,0.374,0.0,0.4052,0.0,0.374,0.0,0.2697,0.0,0.2806,0.0,0.4879,0.0,5.9078,0.0,0.8619,0.0,0.1801,0.0,0.3507,0.0,0.3989,0.0
home_har_data,rolling_variance,ResMLP,BN,1,0.3911,0.0,0.3911,0.0,0.3469,0.0,0.3469,0.0,0.4284,0.0,0.3911,0.0,0.4284,0.0,0.3911,0.0,0.2896,0.0,0.3043,0.0,0.5253,0.0,5.2412,0.0,0.9162,0.0,0.1413,0.0,0.228,0.0,0.3242,0.0
home_har_data,rolling_variance,ResMLP,BN+Whiten,1,0.4364,0.0,0.4364,0.0,0.3687,0.0,0.3687,0.0,0.3799,0.0,0.4364,0.0,0.3799,0.0,0.4364,0.0,0.3425,0.0,0.3621,0.0,0.4744,0.0,6.3891,0.0,0.9105,0.0,0.1446,0.0,0.2369,0.0,0.3221,0.0
home_har_data,rolling_variance,ResMLP,CORAL,1,0.197,0.0,0.197,0.0,0.1622,0.0,0.1622,0.0,0.1632,0.0,0.197,0.0,0.1632,0.0,0.197,0.0,0.0631,0.0,0.0685,0.0,0.1325,0.0,2.0772,0.0,0.297,0.0,0.1596,0.0,1.6966,0.0,0.3391,0.0
home_har_data,rolling_variance,ResMLP,FS20perclass,1,0.2777,0.0,0.2777,0.0,0.284,0.0,0.284,0.0,0.308,0.0,0.2777,0.0,0.308,0.0,0.2777,0.0,0.1573,0.0,0.1602,0.0,0.5907,0.0,5.3946,0.0,0.8684,0.0,0.1659,0.0,0.3446,0.0,0.3582,0.0
home_har_data,rolling_variance,ResMLP,noBN,1,0.4297,0.0,0.4297,0.0,0.3708,0.0,0.3708,0.0,0.4262,0.0,0.4297,0.0,0.4262,0.0,0.4297,0.0,0.3347,0.0,0.3518,0.0,0.5153,0.0,9.7079,0.0,0.945,0.0,0.1338,0.0,0.1351,0.0,0.2948,0.0
home_occupation_data,rolling_variance,CNN_LSTM,BN,1,0.4269,0.0,0.4269,0.0,0.3308,0.0,0.3308,0.0,0.7843,0.0,0.4269,0.0,0.7843,0.0,0.4269,0.0,0.1403,0.0,0.2753,0.0,0.5203,0.0,4.9349,0.0,0.9472,0.0,0.1121,0.0,0.12,0.0,0.2121,0.0
home_occupation_data,rolling_variance,CNN_LSTM,BN+Whiten,1,0.7275,0.0,0.7275,0.0,0.6586,0.0,0.6586,0.0,0.8121,0.0,0.7275,0.0,0.8121,0.0,0.7275,0.0,0.5912,0.0,0.6508,0.0,0.2337,0.0,3.4632,0.0,0.9603,0.0,0.1041,0.0,0.0947,0.0,0.2127,0.0
home_occupation_data,rolling_variance,CNN_LSTM,CORAL,1,0.7021,0.0,0.7021,0.0,0.6181,0.0,0.6181,0.0,0.817,0.0,0.7021,0.0,0.817,0.0,0.7021,0.0,0.5531,0.0,0.6314,0.0,0.2533,0.0,2.0104,0.0,0.9553,0.0,0.1061,0.0,0.1062,0.0,0.2092,0.0
home_occupation_data,rolling_variance,CNN_LSTM,FS20perclass,1,0.9793,0.0,0.9793,0.0,0.9792,0.0,0.9792,0.0,0.9796,0.0,0.9793,0.0,0.9796,0.0,0.9793,0.0,0.9689,0.0,0.9692,0.0,0.0124,0.0,0.0623,0.0,0.9917,0.0,0.0471,0.0,0.0209,0.0,0.0988,0.0
home_occupation_data,rolling_variance,CNN_LSTM,noBN,1,0.9699,0.0,0.9699,0.0,0.9699,0.0,0.9699,0.0,0.9723,0.0,0.9699,0.0,0.9723,0.0,0.9699,0.0,0.9549,0.0,0.9562,0.0,0.0245,0.0,0.1839,0.0,0.9944,0.0,0.0383,0.0,0.0138,0.0,0.0779,0.0
home_occupation_data,rolling_variance,Conv1D,BN,1,0.6713,0.0,0.6713,0.0,0.5468,0.0,0.5468,0.0,0.7863,0.0,0.6713,0.0,0.7863,0.0,0.6713,0.0,0.507,0.0,0.5869,0.0,0.2594,0.0,1.555,0.0,0.9307,0.0,0.1356,0.0,0.1575,0.0,0.2698,0.0
home_occupation_data,rolling_variance,Conv1D,BN+Whiten,1,0.686,0.0,0.686,0.0,0.5822,0.0,0.5822,0.0,0.801,0.0,0.686,0.0,0.801,0.0,0.686,0.0,0.5291,0.0,0.6085,0.0,0.2553,0.0,2.1479,0.0,0.9413,0.0,0.124,0.0,0.1401,0.0,0.2573,0.0
home_occupation_data,rolling_variance,Conv1D,CORAL,1,0.6667,0.0,0.6667,0.0,0.537,0.0,0.537,0.0,0.4529,0.0,0.6667,0.0,0.4529,0.0,0.6667,0.0,0.5,0.0,0.5828,0.0,0.2613,0.0,1.4988,0.0,0.9279,0.0,0.1352,0.0,0.17,0.0,0.2702,0.0
